Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),MEETING:Zone Air Temperature [C](Hourly),MEETING:Zone Air Relative Humidity [%](Hourly),RDC:Zone Air Temperature [C](Hourly),RDC:Zone Air Relative Humidity [%](Hourly),RPLUS1:Zone Air Temperature [C](Hourly),RPLUS1:Zone Air Relative Humidity [%](Hourly),SS:Zone Air Temperature [C](Hourly),SS:Zone Air Relative Humidity [%](Hourly),HEATING SCHEDULE:Schedule Value [](Hourly),HIGH TEMP RADIANT SETPOINT:Schedule Value [](Hourly),MEETING THERMOSTAT SCHEDULE:Schedule Value [](Hourly),RDC THERMOSTAT SCHEDULE:Schedule Value [](Hourly),RPLUS1 THERMOSTAT SCHEDULE:Schedule Value [](Hourly),ALWAYS ON DISCRETE:Schedule Value [](Hourly),ALWAYS OFF DISCRETE:Schedule Value [](Hourly),ALWAYS ON CONTINUOUS:Schedule Value [](Hourly),ALWAYS ON:Schedule Value [](Hourly),COOLING SCHEDULE:Schedule Value [](Hourly),MEETING HIGH TEMP RADIANT:Zone Radiant HVAC Heating Rate [W](Hourly),MEETING HIGH TEMP RADIANT:Zone Radiant HVAC Heating Energy [J](Hourly),RDC HIGH TEMP RADIANT:Zone Radiant HVAC Heating Rate [W](Hourly),RDC HIGH TEMP RADIANT:Zone Radiant HVAC Heating Energy [J](Hourly),RPLUS1 HIGH TEMP RADIANT:Zone Radiant HVAC Heating Rate [W](Hourly),RPLUS1 HIGH TEMP RADIANT:Zone Radiant HVAC Heating Energy [J](Hourly),NaturalGas:Facility [J](TimeStep) 
 02/26  04:00:00,-1.8,,-2.279613112613295,13.693261169662003,52.15057599663204,17.5333788395804,40.77194406014969,14.807006969119733,48.52033845853327,15.504960723168166,46.390181408988326,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  05:00:00,-1.9,,-2.324476387678824,13.554818691261275,52.47371709764508,17.413826329856793,40.96469011464377,14.60600463010294,49.01479464827474,15.499569589211857,46.27481368123716,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  06:00:00,-2.0,,-2.4230128277951897,13.37344826925865,52.94644366084008,17.256836794293886,41.255482422634046,14.379422269679399,49.59642354108729,15.493716336296773,46.160254973747406,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  07:00:00,-2.0,,-2.4216448526690937,13.13493542255909,54.082652105728314,17.028618256553166,42.09365653445406,14.127930691833802,50.69716608106813,15.489090372527846,46.436012652971485,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  08:00:00,-2.0,,-2.798009746206795,12.980849613820567,54.322063469951175,16.887753347243265,42.231734666264806,13.914409088128162,51.11449940666767,15.485345470979349,46.185051650495765,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  09:00:00,-2.0,,-2.798009746206795,12.958020333763546,54.40327756164436,17.177556813384026,41.46302711696481,14.098311679082057,50.50799078193923,15.484493263371364,46.18757665041301,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  10:00:00,-1.5,,-2.4811007394858993,13.093775753685154,54.301719571037836,17.718022698283058,40.35474342971045,14.603380571930057,49.2296108340167,15.490490521376902,46.49450158648219,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  11:00:00,-1.0,,-2.2392809475700215,13.287197569702975,53.25362285331731,18.089555611866967,39.15076959629226,15.086637259838904,47.39142940654703,15.503747779933587,46.137674379507644,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  12:00:00,-1.0,,-2.6445473596694753,13.58447550937228,52.23124592532934,18.179055472718453,38.931056654952044,15.310463750309003,46.713733142449016,15.524439770023378,46.076478193503405,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  13:00:00,-0.3,,-1.936200071124189,13.93879510271395,51.42271724533495,18.256601771597346,39.03068273726798,15.448868633970438,46.645595770805535,15.548746921818044,46.347581980600125,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  14:00:00,0.0,,-1.6674461817793775,14.22489116991014,50.11015955370291,18.319280139338776,38.59533896385535,15.534034369256428,46.05475953451677,15.575232539324896,45.933253983738,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  15:00:00,0.0,,-1.6674461817793775,14.363518290122746,49.66230370897395,18.288668845833076,38.669561514321536,15.538048193280337,46.04290660803071,15.600210915774085,45.85976135093703,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  16:00:00,0.3,,-1.646981597625383,14.37975952145515,49.93341504118618,18.177314412222643,39.194679389254524,15.426800961057358,46.67490610606357,15.619038366361924,46.10293927239562,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  17:00:00,0.0,,-1.6674461817793775,14.301329189320235,49.862656874835736,18.00060067730458,39.37595318756691,15.192537921228578,47.075931882802514,15.62734716120025,45.78006830748974,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  18:00:00,0.0,,-1.3020118330285084,14.0792388814895,50.58597484790776,17.742467227630826,40.021675913331414,14.831858648692904,48.18322197297402,15.626600125666648,45.78226066315979,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  19:00:00,-0.4,,-1.495040749971438,13.553299674455063,52.71823204747385,17.40218738847748,41.18099800941049,14.346936033926124,50.069772263582095,15.61654824652794,46.13713820994981,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  20:00:00,-1.0,,-1.8393520786344137,13.19591976661445,53.57210494940598,17.194389065448135,41.425326801212734,14.05020376813976,50.673890692550586,15.603528457099667,45.843413062578406,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  21:00:00,-1.0,,-1.6695686131230225,12.989139114153435,54.300979335706934,17.075450578432495,41.738493621827836,13.860593127693248,51.301435133479856,15.59085166086821,45.8806806000251,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  22:00:00,-1.4,,-1.6706578622811497,12.773692826553138,55.46315751088503,16.922390997728883,42.44446215124463,13.645601857538793,52.39280063007059,15.577183147433269,46.246625809773924,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  23:00:00,-1.0,,-1.44468728151001,12.527982979526119,55.96746869332488,16.72322372285021,42.68184541077901,13.413578723091772,52.81618838679192,15.564723065929595,45.95760112787793,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/26  24:00:00,-1.0,,-1.44468728151001,12.307935384453007,56.78279441140628,16.54099449033571,43.17928439018995,13.189688136598283,53.593660844366696,15.553242400074001,45.99144586984896,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/27  01:00:00,-1.8,,-2.27939782254084,12.112561528934775,57.88268196721279,16.370940494763584,43.92621750299694,12.970791955193999,54.71103838685717,15.543385106443605,46.312421509499785,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/27  02:00:00,-1.9,,-2.3770080000636042,11.94875811074489,58.502186387916765,16.237016588115555,44.29605481726554,12.769234830116302,55.42953035274477,15.534381125574344,46.33207171896429,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/27  03:00:00,-2.1,,-2.572198453735166,11.787995439587078,59.117271206073305,16.092209883125513,44.70045112011945,12.567054340959576,56.16093523929545,15.525416837587539,46.351613404534305,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/27  04:00:00,-2.2,,-2.7224649859193963,11.647091802286747,59.661834883707385,15.964245371961466,45.0609352847009,12.37568928961466,56.86332818475898,15.517163327214254,46.36952196765729,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/27  05:00:00,-2.1,,-2.5730540794016137,11.46455610456206,60.20544800562742,15.79757764290038,45.40701567030974,12.168225742810488,57.47171725701345,15.508869216863586,46.254802057885755,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/27  06:00:00,-2.0,,-2.4230128277951897,11.31005145647639,60.64169860705969,15.645216284926816,45.71404583673276,11.977373543242422,58.023779804092094,15.502028335878622,46.13564822841451,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/27  07:00:00,-2.0,,-2.6345560017024052,11.18757795993755,61.501593524467665,15.52274359743181,46.349613181240265,11.7984516261217,59.06377978952443,15.49521821356037,46.43152285403555,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/27  08:00:00,-2.0,,-2.4230128277951897,18.829062535140167,37.92077599942228,20.101444180100465,34.73021435775053,18.90637125688353,37.81293334395288,15.489956567286779,46.171391343271864,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,7453.535980339034,26832729.52922052,29819.759551391333,107351134.38500881,34217.0093173003,123181233.54228114,285961219.3961227 
 02/27  09:00:00,-2.0,,-2.4230128277951897,19.50153154144546,35.83765933986653,20.825723654047252,33.01875624884962,20.639803364034204,33.41398671800193,15.488266710790786,46.17639679074033,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,7453.535980339037,26832729.529220533,26851.828065435107,96666581.03556637,34217.00931730032,123181233.5422811,274089493.4522978 
 02/27  10:00:00,-1.1,,-1.8200149756292092,21.274730185481246,32.3338174150286,21.01154530115411,32.845651524565326,21.584329623069166,31.713532510784724,15.492925197141147,46.44926984485464,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,7209.836567931472,25955411.644553296,21015.56606846736,75656037.8464825,28012.90420643024,100846455.14314887,224953227.37131628 
 02/27  11:00:00,-1.0,,-1.7813265527773419,21.182918978105704,32.40370838918031,20.98700950621448,32.7960214692912,21.311494745521927,32.14910461302778,15.503436525861385,46.27804010120681,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,5415.953434833175,19497432.36539943,17631.91179951294,63474882.47824659,20200.1484938091,72720534.57771276,172992054.91262087 
