Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),MEETING:Zone Air Temperature [C](Hourly),MEETING:Zone Air Relative Humidity [%](Hourly),RDC:Zone Air Temperature [C](Hourly),RDC:Zone Air Relative Humidity [%](Hourly),RPLUS1:Zone Air Temperature [C](Hourly),RPLUS1:Zone Air Relative Humidity [%](Hourly),SS:Zone Air Temperature [C](Hourly),SS:Zone Air Relative Humidity [%](Hourly),HEATING SCHEDULE:Schedule Value [](Hourly),RDC THERMOSTAT SCHEDULE:Schedule Value [](Hourly),RPLUS1 THERMOSTAT SCHEDULE:Schedule Value [](Hourly),ALWAYS ON DISCRETE:Schedule Value [](Hourly),ALWAYS OFF DISCRETE:Schedule Value [](Hourly),ALWAYS ON CONTINUOUS:Schedule Value [](Hourly),ALWAYS ON:Schedule Value [](Hourly),COOLING SCHEDULE:Schedule Value [](Hourly),ADU RDC-AIR TERMINAL SINGLE DUCT CONSTANT VOLUME NO REHEAT 1:Zone Air Terminal Sensible Heating Rate [W](Hourly),ADU RPLUS1-AIR TERMINAL SINGLE DUCT CONSTANT VOLUME NO REHEAT 2:Zone Air Terminal Sensible Heating Rate [W](Hourly),FAN CONSTANT VOLUME 1:Fan Electricity Rate [W](Hourly),COIL HEATING DX SINGLE SPEED 1:Heating Coil Heating Rate [W](Hourly),COIL HEATING DX SINGLE SPEED 1:Heating Coil Electricity Rate [W](Hourly),COIL HEATING ELECTRIC 1:Heating Coil Heating Rate [W](Hourly),COIL HEATING ELECTRIC 1:Heating Coil Electricity Rate [W](Hourly),Electricity:Facility [J](TimeStep) 
 10/25  17:00:00,12.0,,8.855830775697033,16.932972421772895,41.81722496712311,19.99999997915876,7.071132560504621,21.07394514738184,6.617851778792426,13.48990377505177,52.51352291932567,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,11263.706000285549,8248.771773611898,1861.9102397492563,17541.391520208974,3927.14485639219,0.0,0.0,20840598.346109208 
 10/25  18:00:00,12.0,,8.855830775697033,16.521981802878347,42.925507545928646,8.687492771465715,15.1391226800208,9.077837656036357,14.784869552319519,13.576062686646216,52.2197633155,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492554,0.0,0.0,0.0,0.0,50768882.21950338 
 10/25  19:00:00,12.5,,10.89655085932487,16.30245102544736,43.527151255492946,6.942577903526717,16.619979596779086,6.980924563734037,16.58377448594067,13.655038634889543,51.95030873424785,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492557,0.0,0.0,0.0,0.0,48084392.0614575 
 10/25  20:00:00,12.0,,8.855830775697033,16.02806441656913,44.29771103102338,10.969022937337087,12.678031907565973,10.874627418276258,12.757348807428432,13.715671882698,51.74726164743607,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.910239749256,0.0,0.0,0.0,0.0,17186517.514193233 
 10/25  21:00:00,12.0,,8.855830775697033,15.81247749041233,44.91230825622503,6.265994612525883,17.549531080230018,6.017942011872304,17.86333850026893,13.736775547194496,51.67620527100302,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.910239749256,0.0,0.0,0.0,0.0,41121072.32189325 
 10/25  22:00:00,9.3,,8.11982912956949,15.46812351813042,45.9345521524793,10.467549806571324,13.124634035238216,10.174269199062188,13.384180419615802,13.731142551600271,51.716940814292286,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492566,0.0,0.0,0.0,0.0,10717103.455902098 
 10/25  23:00:00,8.4,,7.257275803126845,15.196457162571052,46.75561354217051,5.547070846476114,18.322585766628922,5.530640377114248,18.331855638587484,13.706606253655318,51.813953741670645,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492566,0.0,0.0,0.0,0.0,35727976.36971962 
 10/25  24:00:00,8.0,,6.95564091051235,15.010546737852152,47.32071154166533,5.032501204611517,18.926585825762103,4.4587943160241315,19.702382037148546,13.676903690167736,51.917396503681644,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,44777231.486055434 
 10/26  01:00:00,9.7,,6.801100316353956,14.937395779118846,47.572746091070954,5.00021750287826,18.980654294397688,4.24275198208102,20.013566031154483,13.615088447207409,52.158313213399644,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,42796911.587594375 
 10/26  02:00:00,7.6,,5.003855213948784,14.742631241719593,48.15319862050388,5.000064183389152,18.97266700303777,4.204472337330691,20.05874705849556,13.520875944245315,52.456706155945234,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,39884073.14296071 
 10/26  03:00:00,7.4,,4.9905183507889745,14.532169673844992,48.791640399634225,5.000019106068567,18.964731379046082,4.1478482400118,20.13016432134812,13.418658847783874,52.78512516695716,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,38127440.31195281 
 10/26  04:00:00,7.2,,4.8911763275424605,14.379983237952802,49.25299556047509,5.000005730536415,18.95655877538024,4.091998705833178,20.20056193977672,13.32755878167859,53.076809920525314,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,36651447.84730039 
 10/26  05:00:00,7.1,,4.800055128437269,14.242597387412221,49.69157120118942,5.0000017307396805,18.955979114992513,4.051267658037485,20.2578364502492,13.239722696726743,53.3803667538807,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,35304982.61593381 
 10/26  06:00:00,7.2,,4.891105013172115,14.131944856634478,50.04769297770345,5.000000525759609,18.955395671991276,4.016193689983604,20.30721477889712,13.150037673362972,53.692358876517645,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,34166246.03899831 
 10/26  07:00:00,6.8,,5.0909901046279,13.68142811038312,51.5723910258255,5.000000086466791,18.968851739852592,4.00766475527495,20.333818617245257,13.056573037571013,54.059836013267116,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,32762545.25517589 
 10/26  08:00:00,6.8,,4.930947223036109,13.522278971709454,52.10539886556201,18.884165261369994,7.779747456832274,18.485240315774178,7.995170266148252,12.977534012699122,54.33731182194238,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,30837.9618735262,27298.014188298,1861.9102397492557,40761.037201686995,8403.501209692726,16768.841635510475,16768.841635510475,97323311.10582891 
 10/26  09:00:00,7.4,,6.218354192437889,13.610668329449286,51.810374395857515,19.972882462406773,7.08846148035552,20.36064163659017,6.921078428373392,12.903382533003573,54.60614799524481,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,26707.788128187865,22606.714127838,1861.910239749256,42094.260764866514,8566.296364432315,6016.096015855325,6016.096015855325,59199489.432132825 
 10/26  10:00:00,7.8,,4.756217900049583,13.495657218613877,52.25153117086972,19.99578210261263,7.0853502914004,20.89049732284187,6.704680895850034,12.857017023592906,54.82618130118921,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,22959.313262560267,18641.256004726754,1861.9102397492563,40181.63740586831,8236.044380210304,0.0,0.0,36352636.631854415 
 10/26  11:00:00,11.0,,9.104191390170955,14.043334139253037,50.42147216704478,19.99932857145817,7.0830664075649725,21.03121458175763,6.646173638072765,12.873583437021654,54.761103368449376,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,19316.047169613725,15289.084273673343,1861.9102397492563,32853.056611398926,6795.08124464195,0.0,0.0,31165169.343808345 
 10/26  12:00:00,11.0,,7.4782097286352665,14.363418077590092,49.43162206544629,19.999891032867446,7.089803273152195,21.187332315784346,6.589252100494859,12.938471730421579,54.58272997058049,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,17294.440124873687,13316.84484778293,1861.9102397492563,28878.749280871863,6112.891173613931,0.0,0.0,28709285.088107474 
