Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),MEETING:Zone Air Temperature [C](Hourly),MEETING:Zone Air Relative Humidity [%](Hourly),RDC:Zone Air Temperature [C](Hourly),RDC:Zone Air Relative Humidity [%](Hourly),RPLUS1:Zone Air Temperature [C](Hourly),RPLUS1:Zone Air Relative Humidity [%](Hourly),SS:Zone Air Temperature [C](Hourly),SS:Zone Air Relative Humidity [%](Hourly),HEATING SCHEDULE:Schedule Value [](Hourly),RDC THERMOSTAT SCHEDULE:Schedule Value [](Hourly),RPLUS1 THERMOSTAT SCHEDULE:Schedule Value [](Hourly),COOLING SCHEDULE:Schedule Value [](Hourly),ALWAYS ON DISCRETE:Schedule Value [](Hourly),ALWAYS OFF DISCRETE:Schedule Value [](Hourly),ALWAYS ON CONTINUOUS:Schedule Value [](Hourly),ALWAYS ON:Schedule Value [](Hourly),ADU RDC-AIR TERMINAL SINGLE DUCT CONSTANT VOLUME NO REHEAT 1:Zone Air Terminal Sensible Heating Rate [W](Hourly),ADU RPLUS1-AIR TERMINAL SINGLE DUCT CONSTANT VOLUME NO REHEAT 2:Zone Air Terminal Sensible Heating Rate [W](Hourly),FAN CONSTANT VOLUME 1:Fan Electricity Rate [W](Hourly),COIL HEATING DX SINGLE SPEED 1:Heating Coil Heating Rate [W](Hourly),COIL HEATING DX SINGLE SPEED 1:Heating Coil Electricity Rate [W](Hourly),COIL HEATING ELECTRIC 1:Heating Coil Heating Rate [W](Hourly),COIL HEATING ELECTRIC 1:Heating Coil Electricity Rate [W](Hourly),Electricity:Facility [J](TimeStep) 
 05/19  01:00:00,4.2,,3.7188291782045124,15.704303841651289,45.751566401765025,20.26848679853027,25.44496825224161,20.06135152374932,25.773130885864838,21.329739544299578,32.1592369167869,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,939.967055189249,1108.8605331781714,1861.9102397492563,346.6773832377687,124.08522992269519,0.0,0.0,7171849.818450852 
 05/19  02:00:00,3.6,,3.197991478378834,15.664906038133571,45.86342217747692,20.199227443059964,25.552076100911343,19.937516119581268,25.96946864175333,21.276510365530807,32.261741929921925,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,953.2242575661078,1197.8068019157602,1861.9102397492563,0.0,0.0,0.0,0.0,6702876.863097323 
 05/19  03:00:00,3.1,,2.772203139479586,15.409237133900538,46.61780901638094,20.041439686155847,25.800701420702794,19.77446900143617,26.231231323314997,21.21061027001747,32.38979492325807,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1056.6575063310968,1294.941633371267,1861.9102397492563,0.0,0.0,0.0,0.0,6702876.863097323 
 05/19  04:00:00,2.0,,1.7499877152987227,15.158833814596463,47.37011433910068,19.93101548947641,25.975678219197317,19.6419455919415,26.44577597320719,21.144652986078103,32.518535017597486,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1237.420380227341,1483.015659214454,1861.9102397492563,489.6888999531016,179.0444225231932,0.0,0.0,7380111.942233962 
 05/19  05:00:00,2.0,,1.5612524967354953,14.980796410630292,47.90775011336254,19.790357145691473,26.19867836855872,19.47362336598954,26.71926025835882,21.084163747803245,32.633881382996975,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1205.3818147597565,1494.4999194326358,1861.9102397492563,368.83689973944723,133.03538588606236,0.0,0.0,7205936.742964865 
 05/19  06:00:00,3.0,,2.9999957041247565,15.04597966881961,47.70951957226776,19.878544619847712,26.057104998889223,19.55600155278337,26.584115406210994,21.035607006929066,32.73306081381971,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,863.4583413899061,1206.3156891528167,1861.9102397492563,469.13459470366456,175.0445946979481,0.0,0.0,7365119.79219784 
 05/19  07:00:00,4.6,,4.46106070607369,15.196178704675468,47.294211596690126,19.95161002941942,25.963261050295998,19.62064058789244,26.501944042030168,20.995048015003785,32.84499536043903,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,632.5122440606625,1018.056777288951,1861.9102397492563,0.0,0.0,0.0,0.0,6702876.863097323 
 05/19  08:00:00,6.0,,5.483464051379295,15.489678683663143,46.41574562118278,20.17238817146708,25.613392990860074,19.799654557719528,26.21171911594023,20.966669475191107,32.90571329269895,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,384.30316547387673,862.1440193442888,1861.9102397492563,0.0,0.0,0.0,0.0,6702876.863097323 
 05/19  09:00:00,7.0,,5.996767437130558,15.810007033654806,45.51977332796528,20.553694459652476,25.043061880805638,20.12998564430228,25.707170422200655,20.9526114688708,32.96785339716415,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,108.23143082002714,679.1458582208707,1861.9102397492563,0.0,0.0,0.0,0.0,7152146.1845787205 
 05/19  10:00:00,9.5,,7.260969959192486,16.219807084716138,44.32405228148332,21.041362725558947,24.291759544853093,20.615414791259155,24.937035051353984,20.955373478848593,32.94777246776752,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,8.43897406719879,497.7837264706733,1861.9102397492563,0.0,0.0,0.0,0.0,7331487.5722766975 
